Código,Descripción,Unidades,Importe Total,Importe Total  I.I.,% Venta,% Acumu.,Fecha Ult.Vta.,Beneficio B.I.,% Ben.
000011,NESTEA LIMÓN,831.0,1699.55,"1.869,50",0.17,85.85,29/09/2025,-57230.45,-3367.4
001400,DESCUENTOS,197.0,-776.9,"-854,59",-0.08,100.19,10/04/2025,-776.9,100.0
ç,,370.0,-1904.55,"-2.095,01",-0.19,100.0,30/09/2025,-1904.55,100.0
