fecha,tmed,tmax,tmin,prec,velmedia,racha,sol,hrMedia,temp_categoria,humedad_categoria,lluvia_categoria,cielo_categoria,viento_categoria,descripcion_dia,día,desayunos,almuerzos,cenas,mes,nº se,año
2025-01-01,9.8,14.1,5.6,0.0,5.8,15.0,8.0,52.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Jueves,135.0,50.0,57,1,53,2025
2025-01-02,9.2,13.0,5.5,0.0,5.0,11.7,8.4,52.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Viernes,140.0,63.0,55,1,53,2025
2025-01-03,8.8,13.8,3.8,0.0,5.0,12.5,8.4,41.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Sábado,170.0,60.0,67,1,53,2025
2025-01-04,8.5,14.5,2.5,0.0,4.7,10.3,8.1,58.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Domingo,134.0,60.0,75,1,1,2025
2025-01-05,9.2,14.8,3.7,3.1,3.6,12.5,4.4,66.0,Frío,Húmedo,Lluvia notable,Lluvioso,Brisa,"Frío, Húmedo, Brisa, Lluvioso.",Lunes,82.0,80.0,67,1,1,2025
2025-01-06,10.6,12.3,9.0,14.7,5.8,14.4,0.0,84.0,Frío,Húmedo,Lluvia torrencial,Temporal / Tormenta,Brisa,"Frío, Húmedo, Brisa, Temporal / Tormenta.",Martes,77.0,64.0,63,1,1,2025
2025-01-07,9.8,11.3,8.3,56.4,3.6,9.2,0.0,98.0,Frío,Húmedo,Lluvia torrencial,Temporal / Tormenta,Brisa,"Frío, Húmedo, Brisa, Temporal / Tormenta.",Miércoles,82.0,16.0,50,1,1,2025
2025-01-08,12.1,13.9,10.3,38.7,11.1,24.2,0.0,94.0,Frío,Húmedo,Lluvia torrencial,Temporal / Tormenta,Viento moderado,"Frío, Húmedo, Viento moderado, Temporal / Tormenta.",Jueves,78.0,42.0,28,1,1,2025
2025-01-09,10.7,14.1,7.3,1.4,2.8,9.7,6.4,67.0,Frío,Húmedo,Lluvia notable,Lluvioso,Brisa,"Frío, Húmedo, Brisa, Lluvioso.",Viernes,92.0,31.0,39,1,1,2025
2025-01-10,6.2,8.6,3.9,21.5,4.2,10.3,0.1,93.0,Frío,Húmedo,Lluvia torrencial,Temporal / Tormenta,Brisa,"Frío, Húmedo, Brisa, Temporal / Tormenta.",Sábado,90.0,70.0,42,1,1,2025
2025-01-11,9.6,13.5,5.6,0.0,3.1,8.3,4.5,77.0,Frío,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Frío, Húmedo, Brisa, Parcialmente soleado.",Domingo,143.0,103.0,27,1,2,2025
2025-01-12,9.0,14.7,3.2,0.0,3.1,9.2,8.4,65.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Lunes,60.0,38.0,55,1,2,2025
2025-01-13,9.0,16.3,1.6,0.0,2.8,11.4,8.4,68.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Martes,74.0,24.0,49,1,2,2025
2025-01-14,13.4,17.1,9.7,0.0,8.9,15.3,8.4,43.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Miércoles,73.0,22.0,26,1,2,2025
2025-01-15,13.2,19.0,7.5,0.0,6.7,14.4,8.4,48.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Jueves,72.0,60.0,35,1,2,2025
2025-01-16,13.2,18.7,7.6,0.0,5.3,13.9,7.4,49.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Viernes,62.0,28.0,41,1,2,2025
2025-01-17,10.2,16.7,3.7,0.0,2.8,6.7,8.2,81.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Sábado,110.0,89.0,47,1,2,2025
2025-01-18,10.2,16.6,3.8,0.0,3.3,6.7,8.2,79.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Domingo,160.0,59.0,64,1,3,2025
2025-01-19,10.0,16.1,3.9,0.0,3.3,7.2,7.3,81.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Lunes,85.0,16.0,15,1,3,2025
2025-01-20,9.3,13.3,5.3,15.3,2.5,8.9,0.0,95.0,Frío,Húmedo,Lluvia torrencial,Temporal / Tormenta,Brisa,"Frío, Húmedo, Brisa, Temporal / Tormenta.",Martes,75.0,58.0,39,1,3,2025
2025-01-21,12.7,18.7,6.7,0.1,1.7,7.2,4.2,85.0,Frío,Húmedo,Llovizna / Chubascos,Con chubascos,Brisa,"Frío, Húmedo, Brisa, Con chubascos.",Miércoles,75.0,32.0,45,1,3,2025
