Código,Descripción,Unidades,Importe Total,Importe Total  I.I.,% Venta,% Acumu.,Fecha Ult.Vta.,Beneficio B.I.,% Ben.
ç,,78.0,-611.18,-672.3,100.0,100.0,30/09/2025,-611.18,100.0
000011,NESTEA LIMÓN,85.0,179.77,197.75,2.33,26.51,29/09/2025,-5855.23,-3257.02
