Código,Descripción,Unidades,Importe,Total,Importe,Total,I.I.,%,Venta,%,Acumu.,Fecha,Ult.Vta.,Beneficio,B.I.,%,Ben.
000211,HAMACA,"8.635,00","49.914,05","60.396,00","6,02","6,02",26/09/2025,"49.914,05","100,00"
000149,CAFÉ,CON,LECHE,"13.661,00","28.677,00","31.544,70","3,46","9,48",26/09/2025,"28.677,00","100,00"
000754,CAÑITA,5,ESTRELLAS,"9.053,00","21.436,27","23.579,90","2,59","12,07",26/09/2025,"21.436,27","100,00"
001849,SOMBRILLA,"4.248,00","17.541,32","21.225,00","2,12","14,18",26/09/2025,"17.541,32","100,00"
000109,BURGUER,LA,CHANCLA,"1.321,00","16.586,18","18.244,80","2,00","16,18",26/09/2025,"16.586,18","100,00"
000755,JARRA,5,ESTRELLAS,"4.167,00","16.509,32","18.160,25","1,99","18,18",26/09/2025,"16.509,32","100,00"
000129,MAHOU,33CL,"5.551,00","16.145,50","17.760,05","1,95","20,12",26/09/2025,"16.145,50","100,00"
000213,CAMA,1,DIA,"555,00","16.053,72","19.425,00","1,94","22,06",26/09/2025,"16.053,72","100,00"
001663,ALHAMBRA,1925,"4.165,00","13.760,09","15.136,10","1,66","23,72",26/09/2025,"13.760,09","100,00"
001792,Bot.,Agua,Solan,50cl,"7.073,00","13.662,23","15.028,45","1,65","25,37",26/09/2025,"13.662,23","100,00"
001805,PESCADO,PLANCHA,"948,00","13.442,36","14.786,60","1,62","26,99",25/09/2025,"13.442,36","100,00"
000100,SANDWICH,CLUB,"1.174,00","13.264,82","14.591,30","1,60","28,59",26/09/2025,"13.264,82","100,00"
000727,WOK,POLLO,"1.069,00","13.090,23","14.399,25","1,58","30,17",26/09/2025,"13.090,23","100,00"
000381,MOJITO,"1.624,00","12.385,59","13.624,15","1,49","31,66",26/09/2025,"12.385,59","100,00"
001660,NACHOS,GOURMET,"1.058,00","11.884,73","13.073,20","1,43","33,10",26/09/2025,"11.884,73","100,00"
001791,Bot.,Agua,Solan,Con,Gas,33cl,"4.491,00","9.935,45","10.929,00","1,20","34,29",26/09/2025,"9.935,45","100,00"
000656,BRAVAS,"1.134,00","9.934,82","10.928,30","1,20","35,49",26/09/2025,"9.934,82","100,00"
000093,ENSALADA,CABRA,"798,00","9.565,50","10.522,05","1,15","36,65",26/09/2025,"9.565,50","100,00"
000772,CROQUETAS,"844,00","9.494,36","10.443,80","1,15","37,79",26/09/2025,"9.494,36","100,00"
000393,APEROL,SPRITZ,"1.526,00","9.011,36","9.912,50","1,09","38,88",26/09/2025,"9.011,36","100,00"
000092,ENSALADA,CESAR,"743,00","8.970,45","9.867,50","1,08","39,96",26/09/2025,"8.970,45","100,00"
001799,POLLO,CAJÚN,"988,00","8.936,91","9.830,60","1,08","41,04",25/09/2025,"8.936,91","100,00"
001389,WOK,SALMON,"673,00","8.918,50","9.810,35","1,08","42,12",26/09/2025,"8.918,50","100,00"
000006,ZUMO,NARANJA,NAT.,(Desay.),"3.376,00","8.868,77","9.755,65","1,07","43,19",26/09/2025,"8.868,77","100,00"
001711,CRISPY,CHICKEN,"904,00","8.177,09","8.994,80","0,99","44,17",25/09/2025,"8.177,09","100,00"
001804,LOMO,ALTO,"421,00","8.018,14","8.819,95","0,97","45,14",25/09/2025,"8.018,14","100,00"
000229,TINTO,DE,VERANO,"3.087,00","8.002,64","8.802,90","0,97","46,10",26/09/2025,"8.002,64","100,00"
001800,BASTONES,DE,BONIATO,"1.171,00","7.637,68","8.401,45","0,92","47,03",26/09/2025,"7.637,68","100,00"
000876,ENSALADILLA,RUSA,"657,00","7.573,77","8.331,15","0,91","47,94",26/09/2025,"7.573,77","100,00"
001488,MULTICEREAL,"5.240,00","7.563,64","8.320,00","0,91","48,85",26/09/2025,"7.563,64","100,00"
001386,ENSALADA,REFRESCANTE,"586,00","7.099,68","7.809,65","0,86","49,71",25/09/2025,"7.099,68","100,00"
001200,TARTAR,DE,ATUN,ROJO,"471,00","7.098,59","7.808,45","0,86","50,56",25/09/2025,"7.098,59","100,00"
001768,COSTILLA,DE,CERDO,"489,00","6.915,05","7.606,55","0,83","51,40",26/09/2025,"6.915,05","100,00"
000003,COLA,ZERO,"3.815,00","6.878,41","7.566,25","0,83","52,23",26/09/2025,"6.878,41","100,00"
000769,TATAKI,DE,ATÚN,"393,00","6.665,77","7.332,35","0,80","53,03",25/09/2025,"6.665,77","100,00"
000384,PIÑA,COLADA,"806,00","6.418,82","7.060,70","0,77","53,81",26/09/2025,"6.418,82","100,00"
000771,MINI-BURGUER,CASERA,TERNERA,"1.049,00","6.339,59","6.973,55","0,76","54,57",26/09/2025,"6.339,59","100,00"
001487,RUSTICO,"4.606,00","6.244,09","6.868,50","0,75","55,33",26/09/2025,"6.244,09","100,00"
000095,ENSALADA,TEMPLADA,"490,00","6.213,86","6.835,25","0,75","56,07",26/09/2025,"6.213,86","100,00"
000153,CAPPUCCINO,ITALIANO,"2.530,00","5.937,45","6.531,20","0,72","56,79",26/09/2025,"5.937,45","100,00"
000103,POLLO,TIKA,MASSALA,"532,00","5.747,27","6.322,00","0,69","57,48",26/09/2025,"5.747,27","100,00"
000212,CAMA,1/2,DIA,"225,00","5.137,19","6.216,00","0,62","58,10",26/09/2025,"5.137,19","100,00"
001682,BEEFETER,"757,00","5.055,45","5.561,00","0,61","58,71",22/09/2025,"5.055,45","100,00"
001817,SUG_6,14.95,"366,00","4.964,50","5.460,95","0,60","59,31",26/09/2025,"4.964,50","100,00"
000001,COCACOLA,"3.399,00","4.863,82","5.350,20","0,59","59,90",26/09/2025,"4.863,82","100,00"
000411,BARCELO,AÑEJO,"668,00","4.761,82","5.238,00","0,57","60,47",24/09/2025,"4.761,82","100,00"
001495,JAMÓN,IBÉRICO,"2.112,00","4.756,82","5.232,50","0,57","61,05",26/09/2025,"4.756,82","100,00"
001874,Mar,de,seda,copa,"1.485,00","4.725,00","5.197,50","0,57","61,62",26/09/2025,"4.725,00","100,00"
001683,SEAGRANS,"696,00","4.662,27","5.128,50","0,56","62,18",25/09/2025,"4.662,27","100,00"
001590,UNIVERSAL,"1.277,00","4.607,27","5.068,00","0,56","62,74",26/09/2025,"4.607,27","100,00"
000106,MINI-TORTILLA,"710,00","4.485,91","4.934,50","0,54","63,28",26/09/2025,"4.485,91","100,00"
000121,"HUEVOS,,PATATAS,,SETAS,TRUFA","365,00","4.436,14","4.879,75","0,54","63,81",26/09/2025,"4.436,14","100,00"
