iter	RMSE
0	20.97521371
1	20.67628703
2	20.40725331
3	20.11595773
4	19.85863323
5	19.63822105
6	19.44544162
7	19.27466613
8	19.10726045
9	18.9247527
10	18.75877347
11	18.60168241
12	18.46594635
13	18.33503863
14	18.25487076
15	18.12147799
16	18.06549644
17	17.9638539
18	17.87698356
19	17.77466321
20	17.73407866
21	17.62170854
22	17.52560973
23	17.43268927
24	17.35688113
25	17.26786983
26	17.24173124
27	17.15517206
28	17.08391459
29	17.02711754
30	16.96693009
31	16.87731495
32	16.86270633
33	16.8157578
34	16.7372141
35	16.70331116
36	16.65394146
37	16.59564206
38	16.54246312
39	16.48706782
40	16.476837
41	16.45086912
42	16.41248664
43	16.40501384
44	16.35842046
45	16.32050886
46	16.29270463
47	16.26398096
48	16.22939104
49	16.18707388
50	16.15707937
51	16.12139818
52	16.09585378
53	16.09468747
54	16.05797238
55	16.03540284
56	16.00155084
57	15.9963307
58	15.955764
59	15.94000786
60	15.93545128
61	15.91917955
62	15.88209454
63	15.86095896
64	15.85800107
65	15.82916046
66	15.82669303
67	15.80882844
68	15.79777907
69	15.78281846
70	15.74174938
71	15.69210098
72	15.64818113
73	15.63893081
74	15.6063463
75	15.57425704
76	15.56381363
77	15.53705508
78	15.51538546
79	15.47896093
80	15.4789606
81	15.4760862
82	15.44555415
83	15.43065625
84	15.40512134
85	15.38994818
86	15.37269802
87	15.35554059
88	15.33911931
89	15.32330456
90	15.29525679
91	15.28487938
92	15.25253222
93	15.20853001
94	15.19814003
95	15.16931493
96	15.15993823
97	15.14384192
98	15.12848187
99	15.12027533
100	15.09836739
101	15.08773493
102	15.07416942
103	15.04701831
104	15.0470173
105	15.03010177
106	15.0101347
107	14.99402626
108	14.985178
109	14.98225367
110	14.9695053
111	14.96924076
112	14.9602615
113	14.95516146
114	14.91824591
115	14.90149904
116	14.89186179
117	14.85777793
118	14.84277813
119	14.81966974
120	14.79583767
121	14.76539255
122	14.74467673
123	14.73970517
124	14.73767299
125	14.71602304
126	14.69723035
127	14.68910594
128	14.66094007
129	14.66093865
130	14.64876712
131	14.64541566
132	14.61794281
133	14.60480053
134	14.60350152
135	14.58329588
136	14.5487387
137	14.54081534
138	14.52527792
139	14.48775605
140	14.4659821
141	14.45055222
142	14.42517113
143	14.40465122
144	14.39444571
145	14.36312627
146	14.36036672
147	14.34273284
148	14.3100567
149	14.29319579
150	14.26251156
151	14.23549686
152	14.21875374
153	14.203642
154	14.19249981
155	14.14933725
156	14.10517471
157	14.08842936
158	14.05719083
159	14.02958609
160	14.02488811
161	14.0157266
162	13.99672377
163	13.98830749
164	13.9621838
165	13.93486164
166	13.90395701
167	13.89839119
168	13.87544618
169	13.86281197
170	13.8542502
171	13.84563536
172	13.823842
173	13.8091286
174	13.789183
175	13.76073353
176	13.73979135
177	13.71375774
178	13.69409266
179	13.64536847
180	13.6178413
181	13.6130635
182	13.5761802
183	13.55484786
184	13.53655179
185	13.52185749
186	13.48825239
187	13.46396307
188	13.43422244
189	13.41363172
190	13.39606592
191	13.3642666
192	13.33843355
193	13.30791364
194	13.29486909
195	13.28337462
196	13.26560615
197	13.26227056
198	13.2512052
199	13.23427661
200	13.21393204
201	13.19825964
202	13.17331047
203	13.15054306
204	13.12675219
205	13.12077685
206	13.09023836
207	13.06767569
208	13.05104284
209	13.03790016
210	13.01439165
211	12.99769638
212	12.9663878
213	12.94878091
214	12.92944234
215	12.91484901
216	12.9000938
217	12.88271216
218	12.8684936
219	12.85338171
220	12.82060435
221	12.80903641
222	12.77547576
223	12.74929805
224	12.73504107
225	12.71461205
226	12.69629736
227	12.68832473
228	12.67379683
229	12.65662835
230	12.64215658
231	12.62755515
232	12.60104666
233	12.58958528
234	12.55283119
235	12.5522574
236	12.52207787
237	12.4986677
238	12.483916
239	12.48130495
240	12.47474122
241	12.46200423
242	12.44559988
243	12.43002082
244	12.39920565
245	12.37561947
246	12.35533657
247	12.3349157
248	12.31554125
249	12.30379734
250	12.27581138
251	12.24663604
252	12.22975676
253	12.21179124
254	12.18848979
255	12.16076303
256	12.14355587
257	12.11329875
258	12.0961812
259	12.08069069
260	12.06308855
261	12.04367038
262	12.034064
263	12.00975586
264	11.99575266
265	11.98286446
266	11.97108038
267	11.95257382
268	11.94479383
269	11.93533352
270	11.93475414
271	11.92041413
272	11.89956923
273	11.88960919
274	11.86041934
275	11.84625615
276	11.83007397
277	11.81798076
278	11.80830858
279	11.79477871
280	11.77345542
281	11.76777649
282	11.75184794
283	11.73839524
284	11.73528288
285	11.72396141
286	11.6897511
287	11.68183847
288	11.66685434
289	11.64572376
290	11.62151303
291	11.59773899
292	11.58865163
293	11.5852759
294	11.58456646
295	11.57272987
296	11.56776581
297	11.56590662
298	11.56069345
299	11.54673121
300	11.5386129
301	11.53751758
302	11.51201905
303	11.49851939
304	11.48534805
305	11.4512446
306	11.45077934
307	11.43311162
308	11.42376357
309	11.40442998
310	11.39028743
311	11.38234655
312	11.36478699
313	11.34657053
314	11.32351109
315	11.30977381
316	11.28017278
317	11.25643416
318	11.24167473
319	11.22145907
320	11.20412694
321	11.18696751
322	11.18137522
323	11.15800352
324	11.14546607
325	11.13371089
326	11.11893421
327	11.10463077
328	11.08420012
329	11.07581985
330	11.07132456
331	11.06200952
332	11.04061418
333	11.01407071
334	10.99307266
335	10.97185037
336	10.96180204
337	10.9439989
338	10.92616954
339	10.91211536
340	10.88827702
341	10.8876186
342	10.87212053
343	10.85544722
344	10.84236385
345	10.83498757
346	10.82744286
347	10.82484751
348	10.80744505
349	10.78630596
350	10.76377156
351	10.74346572
352	10.71852387
353	10.70634005
354	10.69609757
355	10.68943304
356	10.67650836
357	10.67553059
358	10.64704246
359	10.63326213
360	10.61171459
361	10.60164191
362	10.5743006
363	10.55095085
364	10.53881377
365	10.52553013
366	10.50836978
367	10.49373859
368	10.47888705
369	10.47484375
370	10.46697319
371	10.46123564
372	10.45183639
373	10.42260728
374	10.40698382
375	10.39366876
376	10.38432066
377	10.37284269
378	10.36104763
379	10.36059748
380	10.34598998
381	10.3278575
382	10.31958267
383	10.31692604
384	10.30615245
385	10.27075762
386	10.25410889
387	10.24370357
388	10.23946563
389	10.21202517
390	10.20731334
391	10.20046874
392	10.17910839
393	10.17472687
394	10.15994698
395	10.14723587
396	10.14093059
397	10.13388322
398	10.11513362
399	10.09396547
400	10.072606
401	10.0607558
402	10.04726097
403	10.03874336
404	10.03056194
405	10.02494359
406	10.01183707
407	10.00187782
408	10.00058929
409	9.987938319
410	9.973903358
411	9.959265145
412	9.940693702
413	9.918867991
414	9.915990843
415	9.900098747
416	9.891005335
417	9.877441162
418	9.860755893
419	9.856880766
420	9.850874341
421	9.824614899
422	9.807681617
423	9.795535505
424	9.786456202
425	9.769942645
426	9.752331413
427	9.725893439
428	9.716028413
429	9.695654512
430	9.688517512
431	9.670816936
432	9.646939352
433	9.632751803
434	9.620465659
435	9.604192212
436	9.593698204
437	9.587076851
438	9.577145915
439	9.567872519
440	9.53186331
441	9.521053289
442	9.504704229
443	9.489435715
444	9.489012446
445	9.479554145
446	9.468657712
447	9.445996736
448	9.432024882
449	9.424805841
450	9.412300967
451	9.408729785
452	9.397825398
453	9.383552762
454	9.36601138
455	9.35866339
456	9.344026928
457	9.335750941
458	9.329816236
459	9.316192671
460	9.29375707
461	9.282548371
462	9.276561131
463	9.262344646
464	9.244822757
465	9.239266922
466	9.229461748
467	9.218743328
468	9.203872732
469	9.199729408
470	9.184460421
471	9.184334946
472	9.180337136
473	9.174634268
474	9.157023395
475	9.15201361
476	9.137310283
477	9.124429899
478	9.1107625
479	9.102563284
480	9.087442163
481	9.079467974
482	9.063845305
483	9.055343964
484	9.050286176
485	9.038906407
486	9.025594399
487	9.021759076
488	9.017292779
489	9.003994681
490	8.984898522
491	8.97203876
492	8.962245668
493	8.94769412
494	8.933354805
495	8.92100485
496	8.904433938
497	8.873139989
498	8.862973533
499	8.847593368
500	8.841837297
501	8.830199584
502	8.813087399
503	8.807954044
504	8.801301171
505	8.776264043
506	8.755953292
507	8.745276217
508	8.729245058
509	8.709777985
510	8.68894376
511	8.674448531
512	8.670443293
513	8.660289657
514	8.653268427
515	8.638394199
516	8.635777975
517	8.629353925
518	8.620889852
519	8.612171665
520	8.609042214
521	8.601199731
522	8.589499392
523	8.57450223
524	8.553772305
525	8.543527719
526	8.532843699
527	8.532402274
528	8.524583821
529	8.519924028
530	8.505049508
531	8.497063412
532	8.491093928
533	8.482664541
534	8.474795006
535	8.460059424
536	8.45180821
537	8.439399013
538	8.427413201
539	8.416532382
540	8.408626577
541	8.408175215
542	8.403829564
543	8.39114912
544	8.383962456
545	8.376850169
546	8.376459384
547	8.35869682
548	8.340728337
549	8.330556207
550	8.321221535
551	8.313221084
552	8.30777104
553	8.307380859
554	8.29961511
555	8.286370521
556	8.282881923
557	8.274391704
558	8.273955794
559	8.273104426
560	8.264093515
561	8.262178953
562	8.251965564
563	8.233907223
564	8.222585539
565	8.199594276
566	8.196426505
567	8.185030894
